Title,Жанры,Описание,img
" / Sen Shoujo Iczelion / Iczer-Girl Iczelion [OVA][2  2][JAP+Sub][1995 , ,, , DVDRip]","приключения, фантастика, меха","Боевичок про ""девушек в доспехах"" , защищающих нашу родную планету от чудиков, решивших уничтожить все планеты вселенной одну за другой... Собственно тут они и добрались до Земли, где и разворачивается всё это действо.",0
"- -     / Daisougen no Chiisana Tenshi Bush Baby / The Bush Baby / Bush Baby, Little Angel of the Great Plains [TV] [40  40] [JAP+Sub] [1992, , ,","драма, приключения",,1
" III  0:   / Lupin III Episode 0: First Contact ( ) [2002, ,, , , DVDRip]","Приключения, комедия, фантастика, мистерия",,2
"  / EVE no Jikan ( ) [ONA] [6  6] [JAP+Sub+RUS(int)] [2008,  , , DVDRip]","научная фантастика, романтика",,3
"  / Eve no jikan ( ) [ONA] [6  6] [RUS(int),JAP, , ть, DVDRip], DVDRip]","романтика, фантастика, повседневность","В недалёком будущем андроиды (человекоподобные роботы) стали частью повседневной жизни. Большинство людей относится к ним, как к неодушевлённым предметам, но есть и такие, кто слишком привязывается к андроидам из-за их почти человеческой внешности. Таких людей называют «андроидоголиками». Рикуо, простой японский школьник, однажды обнаруживает, что его андроид Сами ведёт себя странно.",4
"  / Eve no Jikan / Time of Eve ( ) [ONA] [6  6] [RUS(int),JAP, , ть, DVDRip], DVDRip]",,,5
"  -  / Eve no Jikan Gekijouban ( ) [Movie] [RUS(int)+JAP+Sub] [2010, , , ть, BDRip], BDRip]",,,6
"  /   / Shaman King / ( ) [TV] [64  64] [RUS(ext/int),, , , DVDRip] [ ]","Приключения, комедия, мистика, сёнэн.","Каждые 500 лет Звезда Судьбы, Лаго, проносится по небу, оповещая всех шаманов мира о том, что Великий Турнир Шаманов начался. Лаго — звезда, несущая миру разрушение и хаос, но раз в 500 лет выбирается Шаман, достойный объединения с Королем Духов — духом всего сущего — чтобы спасти мир. Шаман — человек, способный видеть духов и сражаться вместе с ними как единое целое. Шаманы, в отличие от людей, хранят жизнь на Земле, берегут природу и понимают её. Цель Турнира заключается в том, что шаман, который прошёл все испытания и бои, становится Королём Шаманов, объединяется с Королём Духов — величайшим и сильнейшим духом в мире, — и становится настолько могущественным, что может управлять всей жизнью на Земле.",7
"  /   / Steins;Gate ( ) [TV+Special] [24+1  24+1] [RUS(ext), JAP+Sub] [2011, , , BDRip]",,,8
"  (-2) / Tokyo Ghoul Root A [TV] [12  12] [RUS(int)] [2015, ,, , SATRip]","приключения, мистика, ужасы","Пройдя через страшную боль, унижение и ломку жизненных ценностей, Кэн Канэки переродился. Вместо неуклюжего гибрида человека и упыря возникло что-то новое, гораздо сильнее и совершеннее. Выпустив и укротив внутреннего зверя, Кэн встал на дорогу могущества, но куда она приведет? Пока что молодой боец уверен в одном – только абсолютная сила позволит ему жить так, как хочет, и защитить тех немногих, кто остался дорог. Остальные же – лишь враги, добыча, и ничего более.",9
"  / Yozakura Quartet ( ) [TV][12  12][RUS(ext),JAP,, , DVDRip]","приключения, комедия, мистика","В городе Сакурасин, похожем на обычный современный город, люди и ёкаи живут бок о бок в мире и согласии. Тэнгу, уни, кёси (зомби), заклинатели и многие другие создания, приняв человеческий облик, ходят на работу, учатся и отдыхают, не боясь, что их обидят. Разумеется, они сами не должны причинять вред другим, иначе будут наказаны. За порядком следит команда, возглавляемая Акина из семьи Хиидзуми – только он способен произвести «Настройку», то есть, отослать в потусторонний мир души тех ёкаев, которые утратили контроль над собой и стали опасны.",10
" / Tekkonkinkre ) [Movie] [RUS(int), JAP] [2006, ,, BDRip]","Приключения, Боевик","Футуристический мир Города Богатств, в котором проживают двое мальчиков сирот, построен на величайшем контрасте; иногда жизнь здесь проявляет свои дары, порой она может обойтись крайне жестоко. Их называют ""Black & White"". На восходе и закате они охраняют свой город. Днем и ночью герои вынуждены скитаться по улицам, в поисках способа заработать денег. Но краски сгущаются, когда очи оказываются связанными миссией: сразится и отвоевать у злоумышленников, мечтающих завладеть властью в метрополисе, то, что считается душой Города и спасти самих себя.",11
" / Metropolis / Metoroporisu) [Movie] [RUS(int)+JAP+Sub] [2001, , , BDRip]","дизельпанк, фантастика, триллер, романтика","Фильм начинается с празднования по поводу завершения строительства Зиккурата. Робот, покинувший свою зону, попытался сорвать мероприятие, но был застрелен юношей по имени Рок, состоящим в специальной организации «Мардуки», призванной контролировать перемещения роботов.",12
"  /  / Jin-Roh: The Wolf Brigade ( ) [Movie] [RUS(int), JAP+Sub] [2000, , , , BDRip]","драма, триллер, фантастика",,13
"   / Byosoku 5 senchimetoru  / Makoto Shinkai)[Movie][RUS (int)] [2007, , , BDRip]","аниме, мультфильм, мелодрама","После окончания школы Тоно Такаки и Шинохару Акари уезжают далеко друг от друга, несмотря на связывающие их чувства  . В один прекрасный день, посреди снежной бури, Такаки наконец-то приезжает увидеться с Акари. ",14
"   / Tokyo Godfathers ( )[RUS][2003, , , ,, DVDRip]","комедия, драма, приключения, мультфильм","Трое бездомных - алкоголик-бродяга Джин, трансвестит Хана и беглая беспризорница Миюки живут на улицах Токио. Они уже давно позабыли, как это: иметь крышу над головой и есть три раза в день. Им уже ничего не нужно от жизни, и та равнодушно проходит мимо них, нанизывая друг на друга бесконечные серые будни.",15
"  й железной дороге / Ginga Tetsudou no Yoru / Night on the Galactic Railroad [Movie] [RUS(int)] [1985, Драма, фэнтези, DVDRip]   / Ginga Tetsudou no Yoru / Night on the Galactic Railroad [Movie] [RUS(int)] [1985, , , DVDRip]","Драма, фэнтези","Пусть галактика — это пустыня из россыпи звезд, и мы прекрасно понимаем прозаичность этого факта, но тот, кто еще не до конца утратил подобный истинно поэтический взгляд на мир, не хочет мириться с ним. В мечтах, его галактика будет рекой со множеством островков-остановок, и даже если она выглядит совсем не так, как об этом рассказывали в школе, прогулка по ней поможет открыть много неизведанного, чего мы никогда не заметили бы, просто идя по песчаному берегу. Такой вещью, в данном случае, является буддийский догмат о сострадании, который автор оригинала, видимо, пытался донести до читателя через притчу о скорпионе и поступок друга Джованни. А история с детьми и опекуном является ключевой в понимании назначения поезда, и не будь ее, все было бы гораздо запутаннее.",16
"  / Toward the Terra [TV] [24  24] [RUS(ext), JAP+Sub] [2007, ,, , DVDRip]","приключения, фантастика, драма","В далёком будущем человечество покинуло погибающую Землю и расселилось по космосу. Теперь цивилизацию контролирует суперкомпьютер, и дабы избежать повторения ошибок прошлого, были введены новые правила: каждый подросток должен прийти специальный Экзамен на зрелость. Главная опасность, вставшая перед людьми, это Мью – то ли мутация, то ли новая ступень развития, дарующая сверхчеловеческие способности.",17
"  / Aquarian Age Sign for Evolution [TV] [13  13] [JAP+Sub] [2002, ,, , DVDRip]","приключения, мистика, романтика","Кёта и его друзья Синго и Дзюн мечтают стать знаменитой рок-н-ролльной группой. Подруга детства Кёты Ёкко поддерживает их, пока они работают над осуществлением своей мечты. Однако как только все начинает складываться в их пользу, Кёта узнает, что действуют более могущественные силы и вот-вот начнется разрушительный конфликт. Какую роль Ёкко и Кёта сыграют в предстоящих событиях узнаете посмотрев данный сериал",18
"  OVA / Aquarian Age Saga II [OVA] [RUS(ext), ENG, JAP] [2003, ,, DVDRip]","приключения, мистика",Основана на одноименной карточной игре.,19
"  ( ) / Hagane no Renkinjutsus ) [Movie] [RUS(ext), JAP+Sub] [2011, ,, BDRip]","приключения, фэнтези","Аниме «Стальной алхимик: Священная звезда Милоса» – повествует нам о братьях-алхимиках Альфонсе и Эдварде Элриках, начало их приключениям положено еще в 2003 году сериалом «Стальной алхимик». В этом аниме герои пытаются поймать преступника. Во время поисков братья попадают в город, где встречаются с таинственной девочкой, Джулией Критон, членом организации «Black Bat».",20
"  OVA-1 / Ichigo Mashimaro OVA-1 ( ) [OVA] [3  3] [RUS(int),JAP, ть, сёдзё, DVDRip], , DVDRip]","комедия, повседневность, сёдзё","Продолжение одноименного сериала, в сущности – дополнительные серии к нему.",21
